Pair Address,Token X Address,Token Y Address,Token X Reserve,Token Y Reserve,Transaction Hash,Block Number,Has Liquidity
0xE50019C79Cbd7C49cfFA7C3f8080EA238DE75962,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,8890984302102452707732292,12440308793860067271758003,0x1dd1ddeda301ffd30e5325d6df55dc81e5cf12502dab86329c51e711373d6b34,72555602,true
0xF53B930d94d687B7dE1562bEeDFE7e31934dBD6a,0x9F0C013016E8656bC256f948CD4B79ab25c7b94D,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,895190138374744270350208,354676,0xd90bdfa2d7dabc3382ebbe62dce4096995f6542c03fe1ba98bf800ff4ab6034e,71177010,true
0x86aa95df876b67373eBA42763a9c601d9818CFfC,0x9F0C013016E8656bC256f948CD4B79ab25c7b94D,0xE6829d9a7eE3040e1276Fa75293Bde931859e8fA,2458706482390656616296,176342284951046,0x081842c542c778c5b1789259d3c268eff201ee12b64ae7945c253a949c50564d,71081256,true
0xF0601AA87a7341a38034B49f9517dd3adC2DdeC4,0xE6829d9a7eE3040e1276Fa75293Bde931859e8fA,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,64480044153282795569,93069370766048834771,0x74b7291dc4437f4dd158d4b6ef959a4398f46a5ee111fe173d09d6429097a7b9,71061275,true
0x2612E3280ca8836F58173bF7EcC35e258Dc1b54B,0xC96dE26018A54D51c097160568752c4E3BD6C364,0xE6829d9a7eE3040e1276Fa75293Bde931859e8fA,6441660181,475345958487676647110,0x79086da74e3cbe10f634dad8838f43e33b6165cb0a81f76125500c407951117f,71044526,true
0xf82Ea495dE6AC4e436898A726BfE5E271c3657aA,0x9F0C013016E8656bC256f948CD4B79ab25c7b94D,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,929812926348612981740763,6295924570644955050391,0x8f625288a2f3f849ee0ecb85603e278e7bf787e06572ed008e99730d90553ccc,71029530,true
0x98F1030D989e0aE19135d8EE186294f44E09eBbA,0x9F0C013016E8656bC256f948CD4B79ab25c7b94D,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,96414199339220130231345,6899584,0x0d18ff151102b1a141cd985150f38023c97a54f1221bd0d34e8638b7ae8e4cea,71026690,true
0x9eE2A2f30932E3633F0E2fca91eFF4Cb0Bf814c4,0x9F0C013016E8656bC256f948CD4B79ab25c7b94D,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,16484378492045485905061,369111,0x024882eac092ccef4fe99f6aebfdf5d9d6e15b41f42cd5e4beb772c07f94908f,71026333,true
0x5d54d430D1FD9425976147318E6080479bffC16D,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2607588836125065094911374,5368803543444622386658958,0xf495091776d1315deca12a5671d24d70eccc3a806faf77870a344e865f4a7539,70994078,true
0x5A59359a1ad9b0A59aa70145dFeCeb6d9Ee07253,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,5321161279720,1010985296579648591397188,0x9cd6e3dd44e560386e1f9d62540005e43e968ebac6aad4141901ae0240b9eb89,70740923,true
